,building characteristics factors,,,,,,,,,Structural and architectural factors,,,,,Financial properties factors,,,Social Factors,,Governmental Factors,,Physical/Environmental Factors,Economic factors,,,,,Output
Project 546,160,80,7,2270000,2,2,2,1,2,2,1,2,1,1,3600,7,5000,1,2,1,1,2,17.53333333,13.76666667,2,13.742,7,520000
Project 547,150,80,12,1260000,2,1,2,1,1,2,1,1,1,1,3400,9,4550,3,1,1,1,2,17.5,14.56666667,2,14.573,8,462500
Project 548,200,90,19,2270000,2,2,2,1,1,2,2,2,1,1,3500,8,4900,1,2,1,1,2,17.9,15.13333333,3,15.10033333,9,635000
Project 549,210,95,22,4370000,2,1,2,2,2,3,2,2,1,2,3400,9,4950,3,2,1,1,2,17.5,14.56666667,2,14.573,11,673250
Project 550,200,90,12,2170000,2,1,2,1,2,3,1,2,2,2,3600,10,5000,3,1,2,2,2,17.53333333,13.76666667,3,13.742,6,640000
Project 551,240,110,20,3470000,2,2,2,1,2,3,2,2,2,2,3700,9,5150,3,2,1,1,2,16.66666667,12.16666667,3,12.16,9,782000
Project 552,230,105,23,980000,2,2,2,1,2,3,2,1,2,1,1500,7,2400,3,1,1,1,2,11.86666667,11.2,2,11.21833333,14,344500
Project 553,210,95,14,1070000,2,1,2,1,2,2,2,2,2,1,1550,7,2450,1,2,1,1,2,11.76666667,10.33333333,2,10.35033333,11,326750
Project 554,215,100,24,970000,2,1,2,1,2,3,2,1,1,1,1450,7,2350,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,10,322000
Project 555,225,105,21,1000000,2,2,2,2,2,3,2,2,1,1,1500,9,2400,3,2,1,1,2,11.86666667,11.2,2,11.21833333,8,344500
Project 556,180,85,12,1070000,2,1,2,2,2,2,1,2,1,1,1550,7,2450,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,6,303250
Project 557,180,85,12,870000,1,1,1,1,1,2,1,1,1,1,1600,8,2400,3,2,1,1,2,11.63333333,10.6,3,10.575,5,289000
Project 558,195,85,14,1020000,2,1,1,1,1,2,1,1,1,1,1650,7,2550,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,6,312750
Project 559,190,85,12,2940000,2,1,2,2,2,2,2,2,2,1,3400,8,4750,3,3,2,2,2,17.5,14.56666667,3,14.573,7,588250
Project 560,150,80,15,2020000,2,1,2,2,2,2,1,1,2,1,3600,8,5000,1,2,1,1,2,17.53333333,13.76666667,3,13.742,8,500000
Project 561,180,80,17,4020000,2,1,2,1,2,2,1,2,2,2,3400,7,4950,1,2,1,1,2,17.5,14.56666667,2,14.573,6,547500
Project 562,200,90,15,3140000,2,2,2,1,2,2,2,1,1,1,3600,8,5000,3,2,1,1,2,17.53333333,13.76666667,3,13.742,9,640000
Project 563,210,100,17,2210000,2,2,2,1,2,3,2,1,1,2,3700,9,5150,3,1,1,1,2,16.66666667,12.16666667,2,12.16,6,718000
Project 564,240,110,7,5170000,2,2,2,2,2,3,2,2,2,2,3400,8,4950,3,3,2,2,2,17.5,14.56666667,2,14.573,9,734000
Project 565,230,110,12,6160000,2,1,2,1,2,3,2,1,1,2,3500,11,5300,3,3,2,2,2,17.9,15.13333333,2,15.10033333,11,788000
Project 566,190,90,9,4170000,2,1,2,2,2,2,2,2,1,1,2750,10,4150,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,9,545000
Project 567,220,95,7,4230000,2,1,2,2,2,2,1,2,2,2,3050,10,4550,3,2,1,1,2,19.7,26.23333333,1,26.23333333,4,615500
Project 568,200,80,6,3020000,2,1,2,2,2,2,1,1,2,1,3200,9,4550,3,3,2,2,2,19.63333333,14.93333333,2,14.928,6,530000
Project 569,210,80,7,4120000,2,2,2,1,2,2,1,2,2,1,3300,9,4850,3,2,2,2,2,18.23333333,12.96666667,2,12.985,3,557000
Project 570,215,100,7,5110000,2,1,2,2,2,3,2,2,1,1,3400,10,4950,3,2,1,1,2,17.5,14.56666667,2,14.573,3,679500
Project 571,250,120,13,3300000,2,1,2,1,2,3,2,2,1,2,2700,14,3900,1,1,1,1,2,15.4,18.76666667,1,18.753,7,684250
Project 572,220,110,18,2300000,2,2,2,1,2,3,1,2,2,1,2150,12,3200,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,10,560250
Project 573,190,95,12,1300000,2,1,2,1,2,2,1,1,1,1,2100,14,3050,1,1,1,1,2,13.06666667,12.2,2,12.181,6,496000
Project 574,220,110,16,3300000,2,2,2,2,2,3,1,2,2,2,3650,12,5000,3,2,1,1,2,17.5,14.56666667,2,14.573,5,783500
Project 575,240,125,9,2300000,2,2,2,1,2,3,2,1,2,3,3850,10,5250,3,2,1,1,2,17.53333333,13.76666667,2,13.742,6,890500
Project 576,320,115,9,4300000,2,2,2,1,2,3,2,2,2,3,3850,11,5450,1,1,1,1,2,17.53333333,13.76666667,2,13.742,6,855000
Project 577,320,90,16,4300000,2,1,2,2,2,2,2,1,1,2,3950,12,5600,1,2,1,1,2,16.66666667,12.16666667,2,12.16,9,726250
Project 578,230,115,19,2250000,2,1,2,1,2,2,2,2,1,2,2700,13,3900,1,3,1,1,2,15.4,18.76666667,1,18.753,12,670000
Project 579,300,155,24,4250000,2,2,2,1,2,4,3,2,1,3,3650,16,5400,3,2,1,1,2,17.5,14.56666667,2,14.573,14,1085000
Project 580,310,155,24,4400000,2,1,2,2,2,4,3,1,1,3,3950,14,5800,3,2,1,1,2,16.66666667,12.16666667,3,12.16,12,1155000
Project 581,320,165,14,4600000,2,1,2,1,2,4,3,1,1,3,3650,12,5400,3,3,2,2,2,17.5,14.56666667,2,14.573,10,1135000
Project 582,240,125,16,5600000,2,2,2,2,2,3,2,2,2,3,3950,13,5800,3,2,1,1,2,16.66666667,12.16666667,3,12.16,11,956500
Project 583,240,125,19,4600000,2,1,2,2,2,3,2,2,1,3,3750,14,5550,3,2,2,2,2,17.9,15.13333333,1,15.10033333,9,934500
Project 584,240,125,19,4900000,2,1,2,1,2,3,3,2,1,3,3650,14,5400,3,2,2,2,2,17.5,14.56666667,1,14.573,12,907000
Project 585,260,135,19,5300000,2,2,2,1,2,3,3,2,2,3,4050,12,5950,3,3,2,2,2,15.96666667,7,3,6.962666667,7,1018000
Project 586,240,125,24,4300000,2,1,2,1,2,3,2,2,2,3,3650,12,5400,3,3,2,2,2,17.5,14.56666667,2,14.573,10,912500
Project 587,300,155,19,4250000,2,2,2,2,2,4,3,2,1,3,2100,14,3400,3,2,1,1,2,13.06666667,12.2,2,12.181,9,821000
Project 588,300,155,19,3250000,2,1,2,2,2,4,3,2,1,3,3000,12,4400,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,8,1038000
Project 589,280,145,14,2450000,2,2,2,2,2,4,3,1,1,3,3850,15,5450,3,2,1,1,2,17.53333333,13.76666667,2,13.742,10,1034000
Project 590,220,115,11,3450000,2,2,2,1,2,3,1,2,1,2,3950,15,5600,3,1,1,1,2,16.66666667,12.16666667,2,12.16,6,870000
Project 591,210,105,12,2550000,2,1,2,1,2,3,1,1,1,1,3750,12,5350,3,1,1,1,2,17.9,15.13333333,2,15.10033333,5,784000
Project 592,210,105,12,3550000,2,1,2,1,2,3,1,1,1,3,3550,10,5100,3,1,2,2,2,18.23333333,12.96666667,2,12.985,9,902500
Project 593,190,80,8,2350000,2,1,2,1,2,2,1,2,1,1,1600,7,2750,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,5,459000
Project 594,190,80,8,3460000,2,1,2,1,2,2,1,2,1,2,1650,10,2800,3,1,1,2,2,11.66666667,8.5,2,8.489,5,663500
Project 595,230,95,22,2400000,2,2,2,2,2,3,1,2,2,2,3850,10,6000,3,1,2,1,1,14.3,4.6,2,4.624666667,13,823000
Project 596,200,90,15,3400000,2,1,2,2,1,2,2,2,1,2,3450,13,5050,1,3,2,1,2,17.9,15.13333333,2,15.10033333,10,678750
Project 597,185,85,11,3000000,2,1,2,2,1,2,2,2,1,1,1350,13,2400,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,8,365000
Project 598,155,80,17,2000000,2,1,2,2,1,2,2,2,1,1,1350,13,2600,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,13,323000
Project 599,180,80,9,3100000,1,2,1,1,2,2,1,1,1,1,1550,12,2450,1,2,1,1,2,11.63333333,10.6,2,10.575,18,295000
Project 600,180,105,11,3000000,2,1,1,2,2,3,3,2,2,2,2400,13,4050,3,3,2,2,1,15.4,18.76666667,1,18.753,8,645000
Project 601,300,95,12,3050000,2,1,2,2,2,3,2,2,1,2,3650,8,5300,1,3,2,2,1,16.66666667,12.16666667,2,12.16,10,740500
Project 602,250,105,21,1800000,2,1,2,1,1,3,2,1,1,3,3850,7,5550,1,3,2,1,1,14.3,4.6,2,4.624666667,13,825000
Project 603,170,80,27,3700000,2,2,2,2,2,2,1,1,1,2,3550,10,4750,2,2,1,1,2,17.53333333,13.76666667,2,13.742,14,583250
Project 604,220,95,22,3400000,2,1,2,1,1,2,2,2,1,1,2550,9,3900,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,18,570000
Project 605,200,95,11,3150000,2,2,2,1,2,2,2,1,1,1,2850,10,3600,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,6,537000
Project 606,220,100,13,3650000,2,2,1,2,1,3,2,2,2,2,3350,12,5300,3,2,1,1,2,17.5,14.56666667,2,14.573,8,765000
Project 607,210,100,8,3600000,2,1,2,1,2,3,2,2,1,2,1700,8,2850,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,5,741250
Project 608,160,80,9,3300000,2,2,2,1,2,2,1,2,1,1,1750,10,2900,3,1,2,2,2,12.1,9.4,3,9.414666667,5,681500
Project 609,160,80,12,2300000,2,1,2,1,2,2,1,1,1,2,1800,11,3000,3,1,1,1,2,13.06666667,12.2,2,12.181,6,690500
Project 610,160,80,8,3050000,2,1,2,1,2,2,1,1,1,2,2400,8,3750,3,1,2,1,2,15.4,18.76666667,1,18.753,5,776000
Project 611,160,80,8,3050000,2,1,2,1,2,2,1,1,1,2,2550,8,3900,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,5,812000
Project 612,190,85,8,3050000,2,1,2,1,2,2,1,1,1,2,2550,8,3900,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,5,855000
Project 613,190,85,8,2050000,2,1,2,1,2,2,1,1,1,1,1450,8,2550,3,1,2,1,2,11.86666667,11.2,1,11.21833333,7,660000
Project 614,190,85,8,2050000,2,1,2,1,2,2,2,1,1,1,1450,10,2550,3,1,2,1,2,11.86666667,11.2,3,11.21833333,6,660000
Project 615,210,100,10,3140000,2,1,2,1,2,2,2,1,1,2,1400,8,2500,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,5,689500
Project 616,220,105,12,3350000,2,1,2,1,2,3,2,1,1,2,1550,8,2650,3,1,1,1,2,11.63333333,10.6,3,10.575,5,737000
Project 617,220,105,15,3550000,2,2,2,2,2,3,2,2,2,2,1600,9,2750,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,6,749000
Project 618,250,135,29,1090000,2,1,2,1,2,3,2,1,1,1,1950,16,2850,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,16,632000
Project 619,260,135,26,1110000,2,2,2,2,2,3,2,2,1,2,2000,14,2900,3,2,1,1,2,11.86666667,11.2,2,11.21833333,14,654500
Project 620,215,105,17,1190000,2,1,2,2,2,2,1,2,1,1,2050,15,2850,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,12,613250
Project 621,215,115,17,990000,1,1,1,1,1,3,2,1,1,1,2100,14,3000,3,2,1,1,2,11.63333333,10.6,3,10.575,11,599000
Project 622,200,115,19,1140000,2,1,1,1,1,3,1,1,1,1,3850,15,5200,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,12,622750
Project 623,195,115,17,3040000,2,1,2,2,2,3,2,2,2,3,4050,15,5450,3,3,2,2,2,17.5,14.56666667,3,14.573,13,898250
Project 624,155,105,20,2140000,2,1,2,2,2,3,1,1,2,2,3850,14,5400,1,2,1,1,2,17.53333333,13.76666667,3,13.742,14,810000
Project 625,185,105,22,4140000,2,1,2,1,2,3,1,2,2,2,4050,15,5450,1,2,1,1,2,17.5,14.56666667,2,14.573,12,857500
Project 626,205,125,20,3240000,2,2,2,1,2,3,2,1,1,3,4150,16,5600,3,2,1,1,2,17.53333333,13.76666667,3,13.742,15,950000
Project 627,215,135,22,2290000,2,2,2,1,2,3,2,1,1,3,3850,15,5400,3,1,1,1,2,16.66666667,12.16666667,2,12.16,12,1028000
Project 628,245,145,12,5290000,2,2,2,2,2,4,3,2,2,3,3950,18,5750,3,3,2,2,2,17.5,14.56666667,2,14.573,15,1044000
Project 629,235,145,17,6290000,2,1,2,1,2,4,3,1,1,3,3200,17,4600,3,3,2,2,2,17.9,15.13333333,2,15.10033333,17,1098000
Project 630,195,125,14,4290000,2,1,2,2,2,3,2,2,1,3,3500,17,5000,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,15,855000
Project 631,225,115,14,4340000,2,1,2,2,2,3,1,2,2,3,3650,16,5100,3,2,1,1,2,19.7,26.23333333,1,26.23333333,10,925500
Project 632,205,115,14,3140000,2,1,2,2,2,3,1,1,2,3,3500,14,4900,3,3,2,2,2,19.63333333,14.93333333,2,14.928,12,840000
Project 633,235,110,28,3370000,2,2,2,1,2,3,2,1,1,3,3050,16,4500,3,3,2,2,2,17.23333333,30.33333333,3,30.31233333,13,1263750
Project 634,245,115,24,3570000,2,1,2,2,2,3,2,2,1,3,3700,15,5300,3,3,2,2,2,17.5,14.56666667,2,14.573,15,1815000
Project 635,265,125,22,4570000,2,1,2,2,2,3,2,1,1,3,3900,17,5800,3,3,2,2,2,17.53333333,13.76666667,3,13.742,18,2047500
Project 636,265,125,24,3560000,2,2,2,2,2,3,2,1,1,3,3800,16,5450,3,3,2,2,2,17.9,15.13333333,3,15.10033333,17,1998000
Project 637,285,115,43,3690000,2,2,1,2,1,3,2,2,2,3,4000,19,5500,3,2,1,1,2,17.53333333,13.76666667,2,13.742,14,956500
Project 638,225,115,28,2690000,2,1,2,2,2,3,1,1,1,3,3800,19,5250,3,2,2,2,2,17.5,14.56666667,2,14.573,12,911500
Project 639,275,135,26,4680000,2,2,2,2,2,3,2,1,1,3,3450,19,5050,3,2,2,2,2,19.7,26.23333333,2,26.23333333,8,1002000
Project 640,265,120,18,4690000,2,1,1,2,2,3,2,2,1,3,3700,13,5350,3,2,2,2,2,18.23333333,12.96666667,2,12.985,9,943000
Project 641,245,125,23,4000000,2,1,2,2,2,3,2,2,2,2,2050,15,3150,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,10,690000
Project 642,225,115,22,2090000,2,1,2,2,2,3,2,2,2,2,2050,15,3050,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,10,655000
Project 643,225,115,23,1590000,2,1,2,2,2,3,2,2,2,2,2300,15,3450,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,11,700000
Project 644,215,120,21,3390000,2,2,2,2,2,3,2,1,1,3,3000,14,4300,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,10,838500
Project 645,195,105,24,4270000,2,2,2,2,2,3,2,1,1,3,3450,13,5050,3,3,2,1,2,19.7,26.23333333,2,26.23333333,9,850000
Project 646,185,95,17,3270000,2,1,1,1,1,2,1,2,1,3,3900,12,5400,1,2,1,1,2,17.9,15.13333333,3,15.10033333,10,808000
Project 647,195,85,13,5050000,2,2,2,1,2,2,2,2,2,2,2650,8,4000,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,7,556000
Project 648,205,85,14,6030000,2,1,1,2,2,2,2,2,1,1,1700,9,2950,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,6,407500
Project 649,205,85,12,5120000,2,1,1,2,2,2,2,2,1,2,3350,9,4900,1,2,1,1,2,18.23333333,12.96666667,2,12.985,6,641500
Project 650,170,75,13,2140000,1,1,2,1,1,2,1,1,1,1,2500,7,3700,3,1,1,1,2,15.4,18.76666667,1,18.753,5,456000
Project 651,175,70,11,1160000,2,1,1,1,2,2,1,1,1,1,3750,8,4950,3,2,1,1,2,16.66666667,12.16666667,3,12.16,4,568750
Project 652,220,105,16,3087000,2,1,2,2,2,3,2,2,2,2,3850,9,5300,1,2,2,2,2,15.96666667,7,3,6.962666667,6,803500
Project 653,225,105,21,6155000,2,1,2,2,2,3,2,2,2,2,3950,10,5850,1,2,1,1,2,14.3,4.6,3,4.624666667,4,858500
Project 654,295,135,21,5155000,2,1,2,2,2,3,3,2,2,3,3550,6,5150,1,2,1,1,2,17.9,15.13333333,2,15.10033333,9,993000
Project 655,235,85,23,4205000,2,2,2,2,2,2,2,2,1,2,3550,8,5150,1,2,1,1,2,17.9,15.13333333,2,15.10033333,11,682000
Project 656,215,105,16,2200000,2,1,2,2,2,3,2,1,1,2,3350,9,4700,3,1,1,1,2,18.23333333,12.96666667,2,12.985,5,737500
Project 657,195,85,23,3450000,2,2,2,2,2,2,1,2,2,2,1500,8,2500,3,2,1,2,2,11.43333333,8.433333333,2,8.437666667,9,367000
Project 658,195,85,55,4455000,2,2,2,2,2,2,1,2,2,3,2650,8,4000,3,2,1,2,2,16.53333333,29.73333333,3,29.76633333,11,565000
Project 659,175,80,19,2450000,2,1,2,1,1,2,1,1,2,1,3100,11,4400,1,1,1,1,2,19.7,26.23333333,1,26.23333333,14,585000
Project 660,165,70,19,2200000,2,2,2,1,1,2,1,2,2,1,2300,11,3500,1,1,1,1,2,15.4,18.76666667,1,18.753,9,302000
Project 661,295,125,12,6300000,2,2,2,2,1,3,2,2,2,3,3150,12,4900,3,1,2,1,2,18.23333333,12.96666667,2,12.985,12,830000
Project 662,255,105,9,5150000,2,2,2,1,2,3,2,1,1,2,3450,8,5050,3,3,2,2,1,17.53333333,13.76666667,3,13.742,4,750500
Project 663,235,95,11,3160000,2,1,2,1,2,3,2,2,1,2,3250,8,4600,3,3,2,2,1,17.5,14.56666667,2,14.573,3,638000
Project 664,145,65,4,2150000,2,2,2,1,2,2,1,2,1,1,3450,5,4850,1,2,1,1,2,17.53333333,13.76666667,2,13.742,5,430000
Project 665,135,65,9,1140000,2,1,2,1,1,2,1,1,1,1,3250,7,4400,3,1,1,1,2,17.5,14.56666667,2,14.573,6,372500
Project 666,185,75,16,2150000,2,2,2,1,1,2,2,2,1,2,3350,6,4750,1,2,1,1,2,17.9,15.13333333,3,15.10033333,7,545000
Project 667,195,80,19,4250000,2,1,2,2,2,3,2,2,1,2,3250,7,4800,3,2,1,1,2,17.5,14.56666667,2,14.573,9,583250
Project 668,185,75,9,2050000,2,1,2,1,2,3,1,2,2,1,3450,8,4850,3,1,2,2,2,17.53333333,13.76666667,3,13.742,4,550000
Project 669,225,95,17,3350000,2,2,2,1,2,3,2,2,2,2,3550,7,5000,3,2,1,1,2,16.66666667,12.16666667,3,12.16,7,692000
Project 670,215,90,20,860000,2,2,2,1,2,3,2,1,2,1,1350,8,2250,3,1,1,1,2,11.86666667,11.2,2,11.21833333,12,354500
Project 671,195,80,11,950000,2,1,2,1,2,2,2,2,2,1,1400,8,2300,1,2,1,1,2,11.76666667,10.33333333,2,10.35033333,9,236750
Project 672,200,85,21,850000,2,1,2,1,2,3,2,1,1,1,1300,8,2200,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,8,232000
Project 673,210,90,18,880000,2,2,2,2,2,3,2,2,1,1,1350,7,2250,3,2,1,1,2,11.86666667,11.2,2,11.21833333,6,254500
Project 674,165,70,9,950000,2,1,2,2,2,2,1,2,1,1,1400,8,2300,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,4,213250
Project 675,165,70,9,750000,1,1,1,1,1,2,1,1,1,1,1450,8,2250,3,2,1,1,2,11.63333333,10.6,3,10.575,3,359000
Project 676,180,70,11,900000,2,1,1,1,1,2,1,1,1,1,1500,8,2400,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,4,222750
Project 677,175,70,9,2820000,2,1,2,2,2,2,2,2,2,2,3250,8,4600,3,3,2,2,2,17.5,14.56666667,3,14.573,5,498250
Project 678,160,90,17,2100000,2,1,2,2,2,2,1,1,2,1,3700,10,5200,1,2,1,1,2,17.53333333,13.76666667,3,13.742,10,600000
Project 679,190,90,19,4100000,2,1,2,1,2,2,1,2,2,2,3500,9,5150,1,2,1,1,2,17.5,14.56666667,2,14.573,8,647500
Project 680,210,100,17,3220000,2,2,2,1,2,3,2,1,1,1,3700,10,5200,3,2,1,1,2,17.53333333,13.76666667,3,13.742,11,740000
Project 681,220,110,19,2290000,2,2,2,1,2,3,2,1,1,2,3800,11,5350,3,1,1,1,2,16.66666667,12.16666667,2,12.16,8,818000
Project 682,250,120,9,5250000,2,2,2,2,2,3,2,2,2,2,3500,10,5150,3,3,2,2,2,17.5,14.56666667,2,14.573,11,834000
Project 683,240,120,14,6240000,2,1,2,1,2,3,2,1,1,2,3600,13,5500,3,3,2,2,2,17.9,15.13333333,2,15.10033333,13,888000
Project 684,200,100,11,4250000,2,1,2,2,2,3,2,2,1,2,2850,12,4350,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,11,645000
Project 685,230,105,9,4310000,2,1,2,2,2,3,1,2,2,2,3150,12,4750,3,2,1,1,2,19.7,26.23333333,1,26.23333333,6,715500
Project 686,210,90,8,3100000,2,1,2,2,2,2,1,1,2,2,3300,11,4750,3,3,2,2,2,19.63333333,14.93333333,2,14.928,8,630000
Project 687,220,90,9,4200000,2,2,2,1,2,2,1,2,2,2,3400,11,5050,3,2,2,2,2,18.23333333,12.96666667,2,12.985,5,657000
Project 688,225,110,9,5190000,2,1,2,2,2,2,2,2,1,2,3500,12,5150,3,2,1,1,2,17.5,14.56666667,2,14.573,5,779500
Project 689,260,130,15,3380000,2,1,2,1,2,3,2,2,1,2,2800,16,4100,1,1,1,1,2,15.4,18.76666667,1,18.753,9,784250
Project 690,230,120,20,2380000,2,2,2,1,2,3,1,2,2,2,2250,14,3400,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,12,660250
Project 691,200,105,14,1380000,2,1,2,1,2,3,1,1,1,1,2200,16,3250,1,1,1,1,2,13.06666667,12.2,2,12.181,8,596000
Project 692,230,120,18,3380000,2,2,2,2,2,3,1,2,2,2,3750,14,5200,3,2,1,1,2,17.5,14.56666667,2,14.573,7,883500
Project 693,250,135,11,2380000,2,2,2,1,2,3,2,1,2,2,3950,12,5450,3,2,1,1,2,17.53333333,13.76666667,2,13.742,8,990500
Project 694,330,125,11,4380000,2,2,2,1,2,3,2,2,2,2,3950,13,5650,1,1,1,1,2,17.53333333,13.76666667,2,13.742,8,955000
Project 695,330,100,18,4380000,2,1,2,2,2,3,1,1,1,2,4050,14,5800,1,2,1,1,2,16.66666667,12.16666667,2,12.16,11,826250
Project 696,240,125,21,2330000,2,1,2,1,2,3,2,2,1,2,2800,15,4100,1,3,1,1,2,15.4,18.76666667,1,18.753,14,770000
Project 697,310,165,26,4330000,2,2,2,1,2,4,3,2,1,3,3750,18,5600,3,2,1,1,2,17.5,14.56666667,2,14.573,16,1185000
Project 698,320,165,26,4480000,2,1,2,2,2,4,3,1,1,3,4050,16,6000,3,2,1,1,2,16.66666667,12.16666667,3,12.16,14,1255000
Project 699,330,175,16,4680000,2,1,2,1,2,4,3,1,1,3,3750,14,5600,3,3,2,2,2,17.5,14.56666667,2,14.573,12,1235000
Project 700,250,135,18,5680000,2,2,2,2,2,3,3,2,2,3,4050,15,6000,3,2,1,1,2,16.66666667,12.16666667,3,12.16,13,1056500
Project 701,250,135,21,4680000,2,1,2,2,2,3,2,2,1,3,3850,16,5750,3,2,2,2,2,17.9,15.13333333,1,15.10033333,11,1034500
Project 702,250,135,21,4980000,2,1,2,1,2,3,2,2,1,3,3750,16,5600,3,2,2,2,2,17.5,14.56666667,1,14.573,14,1007000
Project 703,270,145,21,5380000,2,2,2,1,2,4,3,2,2,3,4150,14,6150,3,3,2,2,2,15.96666667,7,3,6.962666667,9,1118000
Project 704,250,135,26,4380000,2,1,2,1,2,3,2,2,2,3,3750,14,5600,3,3,2,2,2,17.5,14.56666667,2,14.573,12,1012500
Project 705,310,165,21,4330000,2,2,2,2,2,4,3,2,1,3,2200,16,3600,3,2,1,1,2,13.06666667,12.2,2,12.181,11,921000
Project 706,310,165,21,3330000,2,1,2,2,2,4,3,2,1,3,3100,14,4600,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,10,1138000
Project 707,290,155,16,2530000,2,2,2,2,2,4,3,1,1,3,3950,17,5650,3,2,1,1,2,17.53333333,13.76666667,2,13.742,12,1134000
Project 708,230,125,13,3530000,2,2,2,1,2,3,2,2,1,3,4050,17,5800,3,1,1,1,2,16.66666667,12.16666667,2,12.16,8,970000
Project 709,220,115,14,2630000,2,1,2,1,2,3,2,1,1,3,3850,14,5550,3,1,1,1,2,17.9,15.13333333,2,15.10033333,7,884000
Project 710,220,115,14,3630000,2,1,2,1,2,2,1,1,1,3,3650,12,5300,3,1,2,2,2,18.23333333,12.96666667,2,12.985,11,1002500
Project 711,200,90,10,2430000,2,1,2,1,2,2,1,2,1,1,1700,9,2950,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,7,559000
Project 712,200,90,10,3540000,2,1,2,1,2,3,2,2,1,1,1750,12,3000,3,1,1,2,2,11.66666667,8.5,2,8.489,7,763500
Project 713,240,105,24,2480000,2,2,2,2,2,3,1,2,2,3,3950,12,6200,3,1,2,1,1,14.3,4.6,2,4.624666667,15,923000
Project 714,210,100,17,3480000,2,1,2,2,1,3,2,2,1,2,3550,15,5250,1,3,2,1,2,17.9,15.13333333,2,15.10033333,12,778750
Project 715,195,95,13,3080000,2,1,2,2,1,2,2,2,1,1,1450,15,2600,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,10,465000
Project 716,165,90,19,2080000,2,1,2,2,1,2,2,2,1,1,1450,15,2800,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,15,423000
Project 717,190,90,11,3180000,1,2,1,1,2,2,1,1,1,1,1650,14,2650,1,2,1,1,2,11.63333333,10.6,2,10.575,20,395000
Project 718,190,115,13,3080000,2,1,1,2,2,3,3,2,2,1,2500,15,4250,3,3,2,2,1,15.4,18.76666667,1,18.753,10,745000
Project 719,310,105,14,3130000,2,1,2,2,2,3,2,2,1,2,3750,10,5500,1,3,2,2,1,16.66666667,12.16666667,2,12.16,12,840500
Project 720,260,115,23,1880000,2,1,2,1,1,3,2,1,1,3,3950,9,5750,1,3,2,1,1,14.3,4.6,2,4.624666667,15,925000
Project 721,160,70,25,3650000,2,2,2,2,2,2,1,1,1,1,3450,8,4650,2,2,1,1,2,17.53333333,13.76666667,2,13.742,13,543250
Project 722,210,85,20,3350000,2,1,2,1,1,2,2,2,1,1,2450,9,3800,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,17,530000
Project 723,190,85,9,3100000,2,2,2,1,2,2,2,1,1,2,2750,8,3500,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,5,497000
Project 724,210,90,11,3600000,2,2,1,2,1,2,2,2,2,2,3250,10,5200,3,2,1,1,2,17.5,14.56666667,2,14.573,7,725000
Project 725,200,90,6,3550000,2,1,2,1,2,2,2,2,1,2,1600,9,2750,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,4,701250
Project 726,150,70,7,3250000,2,2,2,1,2,2,1,2,1,1,1650,8,2800,3,1,2,2,2,12.1,9.4,3,9.414666667,4,641500
Project 727,150,70,10,2250000,2,1,2,1,2,2,1,1,1,2,1700,9,2900,3,1,1,1,2,13.06666667,12.2,2,12.181,5,650500
Project 728,150,70,6,3000000,2,1,2,1,2,2,1,1,1,2,2300,8,3650,3,1,2,1,2,15.4,18.76666667,1,18.753,4,736000
